question,answer,intent,state,crop
tomato to clean drip laterals information,recommended to apply sulphuric acid to clean drip laterals,plant protection,telangana,tomato
peas (field peas/ garden peas/matar) the recommended dosage of coragen ?,dose / acre -. 60 ml / acre or 0.5 ml / liter of water. usually 150 liter of water is used per acre.,plant protection,telangana,peas (field peas/ garden peas/matar)
dolichos bean gromor f20 chemical composition,gromor 20-20-0-13 is ammonium phosphate sulphate containing nitrogen and phosphate in 1:1 ratio. it contains 20% nitrogen. of this 90% of nitrogen is present in ammonical form and the rest in amide form.,"power, roads etc.",telangana,dolichos bean
cluster bean reduced growth of cluster bean pods,suggested to add urea for increased plant growth,nutrient management,kerala,cluster bean
cotton (kapas) fertilizer application in cotton after weedicide spray,--recommended to apply after 5-6 days of weedicide spray,fertilizer use and availability,telangana,cotton (kapas)
bengal gram (gram/chick pea/kabuli/chana) nutrient management in bengal grm ?,recommended to spray agromin max 3 gm/1 ltr of water 600 gm/acre 19-19-19 1 kg/acre,nutrient management,andhra pradesh,bengal gram (gram/chick pea/kabuli/chana)
papaya organic fertilizer requirement in papaya,"apply grow magic advance, bhuastra super and mi spray plus",organic farming,kerala,papaya
groundnut (pea nut/mung phalli) groundnut peg formation days ?,do not disturb the soil after 45th day of sowing as it will affect pod formation adversely. peg is a tube like structure which is formed after successful fertilization in flowers.,cultural practices,andhra pradesh,groundnut (pea nut/mung phalli)
bitter gourd downy mildew management in bitter gourd?,recommended to spray mancozeb 2.5 gms/1 ltr of water 500 gms/acre,plant protection,andhra pradesh,bitter gourd
mango harmonal foliar spray in mango,recommended to spray naphthalene acetic acid 50 ml/ 200 litres of water /acre,nutrient management,telangana,mango
pigeon pea (red gram/arhar/tur) compatibility test insecticides and fungicides,"yes, fantac plus is compatible with all insecticides and fungicides, including emamectin benzoate.",plant protection,telangana,pigeon pea (red gram/arhar/tur)
green gram (moong bean/ moong) nutrient management for flowering in green gram,recommended to spray 13-0-45 1 kg + agromini max 600 gm in 200 liter of water per acre,nutrient management,telangana,green gram (moong bean/ moong)
"maize (makka) crop duration of maize hybrid-advanta-741,deklab-8171, and cp-333?",advanta 741:crop duration :130-135 days deklab-8171:110-170 days c.p. 333 is a maize variety. duration: 105-115 days.,cultural practices,telangana,maize (makka)
soybean (bhat) best soybean varieties information,"best soybean varieties ; j s -335 , n s b -22, lsb-18",plant protection,telangana,soybean (bhat)
coconut the management of red palm weevil.,suggested to spray imidacloprid 1g /1l,plant protection,kerala,coconut
tomato tomato fruit borer management;-,recommended to spray emamectin benzoate 90 grams /200 litres of water / acre,plant protection,telangana,tomato
tomato wilt management in tomato,recommended to spray carbendazim 12%+mancozeb 63%wp (upl saaf) 400 gm / 200 lit of water /acre,plant protection,andhra pradesh,tomato
green gram (moong bean/ moong) green gram varities information,"green gram varities ; m g g -295, badradri, , ekashila, m g g - 348",plant protection,telangana,green gram (moong bean/ moong)
"castor (rehri, rendi, arandi) sowing time of castor ?",recommended sowing time of castor is in the month of oct as summer crop,sowing time and weather,telangana,"castor (rehri, rendi, arandi)"
groundnut (pea nut/mung phalli) what is the role of calcium nitrate in groundnut production?,calcium is the most critical element in the development of pods and seeds and is the main limiting factor of peanut production in many parts of the world [16]. lack of calcium reduces the yield and quality of peanut compared to any,fertilizer use and availability,andhra pradesh,groundnut (pea nut/mung phalli)
others dairy engineering college details and contact number for training programme,dairy science college bangalore phone no : +91-80-23514575 telefax : +91-80-23414848 email : deandch@gmail.com dairy science. dairy science college kvafsu. hebbal bangalore. 560024. mobile no : +91-. e mail id : arunhruday@rediffmail.com.,training and exposure visits,karnataka,others
guava fruit rot management in guava,recommended to spray copper oxy chloride 3 gms/1 ltr of water 600 gms/acre-fruit rot,plant protection,telangana,guava
others information power gun sprayer,wanaparthy - r.krushnaiah - horticulture officer -,agriculture mechanization,telangana,others
groundnut (pea nut/mung phalli) ground nut market information ?,"min price modal price max price andhra pradesh adoni ground nut 2,270 5,679 7,330",market information,andhra pradesh,groundnut (pea nut/mung phalli)
bottle gourd bottole gourd nutrient management ?,recommended to spray 13-0-45 @ 5 grams/1 litre of water recommended to spray npk 19-19-19 mixture 5 grams/1 litre of,nutrient management,telangana,bottle gourd
passion fruit nutrient management in passion fruit,suggested to spray kno3 3g per litre of water or sulphate of potash/sop 15g per litre of water.,nutrient management,kerala,passion fruit
others complained pm kisan samman nidhi scheme,suggested that pm kisan grievance can given in,government schemes,kerala,others
onion thirps in onion management,recommended to spray fipronil +imidacloprid (police) 100 grams/200 litres of water /acre,plant protection,telangana,onion
chillies chilli nutrient maangement ;-,recommended to spray potassium nitrate (13-0-45) 5 grams + agromin max 3 grams /1 litre of water,cultural practices,telangana,chillies
bitter gourd control of pumpkin beetle in bitter gourd,spray azadirachtin 3ml per litre of water,plant protection,kerala,bitter gourd
jack fruit management of shoot and fruit borer in jack fruit,"spray beauveria bassiana (5ml/l or 20g/l). in severe cases, spray quinalphos 25 ec (2ml/l) or chlorantraniliprole 18.5 sc (3ml/10l)",plant protection,kerala,jack fruit
cold water water testing for fish production,"sri b.devender,district fisheries officer nirmal mobile: email:dfonirmal2016@gmail.com",water testing for fish production,telangana,cold water
neem neem root rot management ;-,recommended to drench copper oxy chloride 3 grams / 1 litre of water,plant protection,telangana,neem
"others price detail of sesamum(sesame,gingelly,til) in warangal mandi.","17/02/2023 mandi : warangal commodity : sesamum(sesame,gingelly,til) (modal price): 14122/quintal",market information,telangana,others
jack fruit the management of potassium deficiency in jack fruit.,suggested to spray potassium nitrate 5g/l.,nutrient management,kerala,jack fruit
black gram (urd bean) market price of blackgram,"min price modal price max price andhra pradesh adoni cotton 3,961 5,000 7,614",market information,andhra pradesh,black gram (urd bean)
sorghum (jowar/great millet) varieties of rabi jowar,"improved varietiesm 35 - 1 , hybrid varieties chs - 10 , muguthi (5 - 4 - 1)",varieties,karnataka,sorghum (jowar/great millet)
mango fertilizer application in mango,recommended to apply 1100 gm urea per mango plant,fertilizer use and availability,telangana,mango
capsicum sucking pest in capsicum management,recommended to spray pyriproxifen 5% +difenthuron 25% se (slr 525) 500 ml/200 liter of water(insects/ pests -,plant protection,telangana,capsicum
paddy (dhan) which chemical we should use first either zinc or herbicide,recommended to use herbicide first later to do zinc,plant protection,telangana,paddy (dhan)
paddy (dhan) fine seed paddy seed material availability,"regional agriculture research institute, rudroor, nizamabad - rice research institute, rajendranagar, hyderabad -",seeds,telangana,paddy (dhan)
coconut management of leaf rot of coconut,"suggested to spray crowns and leaves with bordeaux mixture (1%) or copper oxychloride 50 wp (3 gram/litre of water) or mancozeb 75 wp (3 gram/litre of water) in january, april-may and september. while spraying, care should be taken to spray the spindle leaf and 2-3 adjacent leaves. in diseased gardens, spray drench the spindle and young leaf axils with hexaconazole 5 ec (1 ml / litre of water) or propiconazole 25 ec (1 ml / litre of water) or carbendazim 50 wp (1 gram/litre of water).",agriculture mechanization,kerala,coconut
paddy (dhan) paddy weed management (bayer council activ herbicide ),recommended to spray bayer counsil active 90 grames per acre,weed management,telangana,paddy (dhan)
onion disease management(leaf botch) in onion,2.0 g. mancozeb 50 wp.in a lit. water. 200 lit. spray solution/acre.,plant protection,karnataka,onion
others raise complaint pipeline damage in paddy field,sangareddy - dao - sangareddy - narayankhed - sirgapoor - mao -,government schemes,telangana,others
pepper the contact number of pepper research station,"pepper research station panniyoor, kannur. 0460 222 7287",training and exposure visits,kerala,pepper
paddy (dhan) paddy stem borer management ;.-,recommended to spray cartap hydrochloride 400 grams/200 litres of water / acre,plant protection,telangana,paddy (dhan)
brinjal faremr shoot and fruit borer management in brinjal ?,"recommended to spray novaluron 5.25% + emamectin benzoate 0.9%(barazide,upl-gunther) 320 ml /acre/200lit of water",plant protection,andhra pradesh,brinjal
others centurion herbiside information ?,recommended to spray centurion crops targets soybean grasses 200 ml /acre,weed management,andhra pradesh,others
pepper management of potassium deficiency in pepper,suggested to spray potassium nitrate 5 gram per liter of water,nutrient management,kerala,pepper
banana management of weeds in banana field (post emergence),spray glufosinate ammonium 13.5 sl (5ml/l) or glyphosate 41 sl (4ml/l),plant protection,kerala,banana
others not getting installments of pm kisan scheme,wait for pending installments. registration no.: kl218847542 name of farmer: moytheen,government schemes,kerala,others
sorghum (jowar/great millet) planting activities of sorghum,suggested that the recommended seed rate is 4.8-6 kg/acre. the land is prepared well by 2-3 ploughing. lime or dolomite @ 1-3 kg/cent has to be applied depending on soil acidity. organic manure @ 20 kg/cent has to be applied at the time of land preparation.the seeds are dibbled @ 2 seeds/ hole at a spacing of 45 x 15 cm.,organic farming,kerala,sorghum (jowar/great millet)
sesame (gingelly/til)/sesamum sesame root rot management,recommended to spray npk 19-19-19 mixture 5 grams/1 litre of water,plant protection,telangana,sesame (gingelly/til)/sesamum
pigeon pea (red gram/arhar/tur) information of grg811 redgram variety,"grg811 redgram variety ; kalgudi company , the 170-day crop is best suited for deep black cotton soil, is drought-resistant, and could withstand moisture stress for an extended duration.",plant protection,telangana,pigeon pea (red gram/arhar/tur)
banana management of bunchy top of banana,suggested to spray dimethoate 30 ec (1.5 ml / litre of water).,plant protection,kerala,banana
acid lime can i mix fertilizers along with insecticides?,please jar test should be recommended,cultural practices,andhra pradesh,acid lime
maize (makka) maize fall army management,recommended to spray emamectin benzoate 90 gram/acre,plant protection,telangana,maize (makka)
soybean (bhat) sowing season in soyabean,sowing time: optimum time of sowing is from mid of june to end of june subject to availability of soil moisture/rainfall.,sowing time and weather,karnataka,soybean (bhat)
others quantity of gomootra to be sprayed,dilute 1 lit of cow urine with 100 lit of water and use it as foliar spray. for one acre of crop 200 lit of such dilute suspension will be sufficient.,cultural practices,karnataka,others
sesame (gingelly/til)/sesamum weed management in sesamum sown after 4 days crop,"no herbicides recommended , do hand wedding",weed management,telangana,sesame (gingelly/til)/sesamum
apple market price of apple,"apple common gaddiannaram 478 16,650 5,550 8,300 private traders common warangal 57 20,000 13,000 16,000",market information,andhra pradesh,apple
paddy (dhan) pm kisan land details issue?,--recommended to mandal agriculture officer (mao),government schemes,andhra pradesh,paddy (dhan)
guava in which season we have to do pruning in guava information,"between late winter and early spring months the ideal time to prune a guava tree is during its dormant season, which usually falls between late winter and early spring months when the tree sheds its leaves. this period allows the plant enough time to recover before new growth begins with the arrival of warmer weather.",cultural practices,telangana,guava
"others sowing time of okra, brinjal and tomato",sowing time of okra is from february - march sowng time of tomato is from january - february sowng time of brinjal is from february - march,cultural practices,telangana,others
coconut nut fall in coconut,suggested to apply borax 50g per palm twice a year,nutrient management,kerala,coconut
mango pgr for flower induction in mango,suggested to spray planofix 5ml per litre of water.,nutrient management,kerala,mango
chillies ceasemite and alecto pesticide usage,suggested him to use sucking pest management,plant protection,andhra pradesh,chillies
coffee leaf drop in coffee,suggested that environmental stressors like temperature and lighting can cause leaf drop.,cultural practices,kerala,coffee
others pm kisan 19 installment,pm kisan scheme not yet announced the official date,government schemes,telangana,others
groundnut (pea nut/mung phalli) cultural practices in groundnut.,"a common practice here is that if rains commence at the normal time a groundnut/sorghum or groundnut/millet intercrop is grown, but if rains are delayed groundnut/pigeonpea is grown",cultural practices,karnataka,groundnut (pea nut/mung phalli)
"others market price of onion, redgram, groundnut","min price modal price max price andhra pradesh kurnool onion 2,257 3,609 3,989 andhra pradesh kurnool ground nut 4,550 5,870 7,110 andhra pradesh kurnool redgram-red 2,596 2,596 9,539",market information,andhra pradesh,others
citrus fipronil 5% sc control the pests ?,"it is used for control of chewing and sucking insects including rice hoppers, aphids, thrips, white flies, termites, turf insects, in various crops like cotton, .",plant protection,andhra pradesh,citrus
soybean (bhat) market rate of soybean,market rate of soybean bengaluru 27/03/2025 soyabeen 5000 6000 bidar 28/03/2025 yellow 1783 3737 4271,market information,karnataka,soybean (bhat)
arecanut market price of arecanut / ?????/sippegotu / ?????????? ?,market market date minimum price maximum price k.r.pet 29/10/2024 11000 11000 koppa 29/10/2024 11400 11400 sagar 29/10/2024 14719 15432,market information,karnataka,arecanut
pepper management of pollu betle in pepper,spray quinalphos 25 ec 2 ml/lit of water.,plant protection,kerala,pepper
others which type of crops can be grown at this time,"crops can be grown at this time are sesamum, green gram , black gram, safflower, sunflower",plant protection,telangana,others
jack fruit management in yellowing in jack fruit,suggested to soil drench copper oxy chloride 2 gram in one litre of water.,plant protection,kerala,jack fruit
papaya plant protection in papay plant,recommended to spray imidacloprid 17.8 sl.- 0.5 ml per lit. water for sucking pests.,plant protection,karnataka,papaya
paddy (dhan) weed management in open fields,recommended to spray paraquat 1 liter/acre,weed management,andhra pradesh,paddy (dhan)
mango the mango varietes that can be grown in kerala.,"responded that varites like mallika, rumani,banana can be grown in kerala.",seeds and planting material,kerala,mango
pigeon pea (red gram/arhar/tur) red gram leaf folder management ;-,recommended to spray chlorpyrifos 500 ml/200 litres of water / acre,plant protection,telangana,pigeon pea (red gram/arhar/tur)
paddy (dhan) to seed germination control in paddy crop,"recommended to rice research institute scientist number ,",cultural practices,telangana,paddy (dhan)
paddy (dhan) paddy seeds information (rnr seeds information),"agriculture research station , rajendra nagar -- 040-24015817",seeds,telangana,paddy (dhan)
pomegranate aphid management in pomegranate,recommended to spray methyl dematon 2 ml/1 ltr of water 400 ml/acre,plant protection,andhra pradesh,pomegranate
guava training and pruning in guava,"suggest to do 3 time s training may-june, sep-october, january-february",cultural practices,andhra pradesh,guava
acid lime management of flower shedding in mandarin,"for mandarin, suggested to spray borax @ 1 gram per liter",nutrient management,kerala,acid lime
watermelon watermelon nutrient management ?,recommended to spray borax 3 grams liter of water,nutrient management,andhra pradesh,watermelon
paddy (dhan) information sucking pests in paddy,recommended to spray fipronil (regent) 400 ml / 200 litres of water /acre,plant protection,telangana,paddy (dhan)
custard apple nutrient management in custard apple,recommended to spray planofix (naa) 5 ml per 20 liter of water.,nutrient management,karnataka,custard apple
paddy (dhan) paddy fertilizer shedule management?,"recommedned to apply urea 50 kg , potash 13 kg acre",fertilizer use and availability,andhra pradesh,paddy (dhan)
black gram (urd bean) midge damage in black gram,recommended to spray carbosulfan (marshal ) 400 ml /200 litres of water /acre,plant protection,telangana,black gram (urd bean)
groundnut (pea nut/mung phalli) caterpillar management in ground nut?,recommended to spray chlorpyriphos (corabon) 500 ml/acre 2.5 ml/1 ltr of water,plant protection,andhra pradesh,groundnut (pea nut/mung phalli)
tomato weed management in tomato sown after 35 days crop,"recommended to do hand weeding ,",cultural practices,telangana,tomato
ribbed gourd (kali tori) ribbed gourd /ridge gourd sowing season ?,recommended to sowing season - december 16-end of the february,cultural practices,andhra pradesh,ribbed gourd (kali tori)
tomato tomato 448 information ?,firm and uniform fruit size with excellent shelf life. round shaped medium size fruits. good yielding variety. good resistance to pests and diseases.,seeds and planting material,andhra pradesh,tomato
coconut spacing for planting coconut seedling,suggested that the spacing of coconut ranges from 7.5 m to 9 m,field preparation,kerala,coconut
marigold nutrient management in marigold crop,recommended to spray borax 3 grams/1 litre of water,nutrient management,telangana,marigold
bhindi(okra/ladysfinger) increasing growth rate of bhindi,suggested to spray 18:18:18 @ 5g per litre water.,nutrient management,kerala,bhindi(okra/ladysfinger)
orange gummosis in orange information,recommended to spray carbendazim 200gm + imidachlorpride 60 ml / 200 lit of water,plant protection,telangana,orange
paddy (dhan) paddy seed material availability,"rice research centre, ari, rajendranagar, hyderabad - agriculture research institute, tripuraram, nalgonda -",seeds,telangana,paddy (dhan)
sugarcane (noble cane) control of wooly aphid on sugarcane,suggested to spray dimethoate 2 ml per litr,plant protection,karnataka,sugarcane (noble cane)
others planting of dragon fruit.,the recommended spacing is 3.0-4.0 m x 3.0 m .for climb the stem mostly the cement pole/post with 2 m height is used and it should be buried 30-40 cm in the ground.lateral shoots are restricted and only 2-3 mainstems allowed to grow.four plants should be planted around each post. tye the vines and do regular trimming of the lateral branches,cultural practices,kerala,others
others zinc can mix with 28.28.0 fertilizer,suggested to not mix apply seperately with one week interval,fertilizer use and availability,andhra pradesh,others
arecanut management of leaf cutting insect in arecanut,recommended to spray quinalphos 25 ec @ 1.5 ml per litre water.,plant protection,kerala,arecanut
groundnut (pea nut/mung phalli) groundnut leaf eating management,recommended to spray fipronil +emamectin benzoate [apex-50] 200-250 ml/150 litres of water / acre,plant protection,telangana,groundnut (pea nut/mung phalli)
cotton (kapas) leaf spots and blight management in cotton,recommended to spray copper oxy chloride (blitox)(blue copper) 600 gm /200 litres of water / acre plantomycin 40 gm/ 200 litres of water/ acre,plant protection,telangana,cotton (kapas)
sorghum (jowar/great millet) sorghum covered kernel smut management ;-,recommended to spray propiconazole 200ml/acre/200 lit of water,plant protection,telangana,sorghum (jowar/great millet)
paddy (dhan) nano urea application in paddy,recommended to spray nano urea 500 ml /acre/200 lits of water,nutrient management,telangana,paddy (dhan)
others information new id registry,nalgonda - anumula - tirumalagiri (sagar) - mao -,government schemes,telangana,others
chrysanthemum chrysanthemum leaf spot management ;-,recommended to spray mancozeb 600 grams / 200 litres of water / acre,plant protection,telangana,chrysanthemum
others pm kisan 18th installment payment,india post payments bank 18th installment payment done credited on : 24/02/2025,government schemes,telangana,others
others management of fruit falling in breadfruit,suggested to do foliar application of borax 1g per litre of water or apply 40 g borax in soil,nutrient management,kerala,others
others management of rotting in dragon fruit,remove and destroy affected parts. spray coppor oxychloride @ 3g per litre water.,plant protection,kerala,others
"others krishimela date in gkvk, bangalore","krishimela date in gkvk, bangalore:-14-17th of november",training and exposure visits,karnataka,others
others to check beneficiary status in pm kisan samman nidhi yojana scheme information,query : asked to check beneficiary status in pm kisan samman nidhi yojana scheme information answer : recommended for pm kisan installment amount has been paid into state bank of india bank account on 6th october.,government schemes,kerala,others
others the management of snail in field.,"spread the cabbage leaf and papaya leaf around the field, after the attraction of snail spray copper sulphate 10g/l. metaldehyde 60g/cent.",plant protection,kerala,others
others market rate of alasande,davanagere 19/11/2024 alasande gram 24 9630 9630,market information,karnataka,others
chillies chilli midge fly management ;-,recommended to spray carbosulfan 400 ml /200 litres of water /acre,plant protection,telangana,chillies
mango all season variety of mango,suggested that thailand variety is all season mango variety.,seeds and planting material,kerala,mango
watermelon irrigation frequency in water melon,"during the initial stages of growth, irrigate the crop at 3-4 days interval, and alternate days during flowering/fruiting. during rainy season, drainage is essential for plant survival and growth.","water management, micro irrigation",kerala,watermelon
groundnut (pea nut/mung phalli) rot management in ground nut,multiplex bio-jodi is the combination of two most widely used bacteria (pseudomonas fluorescence & bacillus subtilis). 2 to 5 kg per acre,plant protection,andhra pradesh,groundnut (pea nut/mung phalli)
others bone meal application in chilli,recommended that finely powdered bone meal is recommended for application,training and exposure visits,kerala,others
pepper seperating runner shoots of pepper,suggested to coil the runner shoots produced at the base of mother plant and seperate them from vines in february-march,cultural practices,kerala,pepper
groundnut (pea nut/mung phalli) market information on groundnut,raichur 30/11/2024 gungri (with shell) 36 3519 5099,market information,karnataka,groundnut (pea nut/mung phalli)
chillies leaf minor in chillies,recommended to spray dimethoate (rogore) 400 ml /200 litres of water /acre,plant protection,telangana,chillies
onion damping off management in onion?,recommended to spray copper oxy chloride (blitox)3 gms/1 ltr of water,plant protection,andhra pradesh,onion
papaya the pottassium deficiency in papaya.,suggested to spray pottassium nitrate 5g/l.,nutrient management,kerala,papaya
chillies farner market information of red gram ?,"state apmc's commodity price in rs. commodity arrivals commodity traded unit date min price modal price max price andhra pradesh adoni arhar whole / tur (red gram) 6,670 8,497 8,646",market information,andhra pradesh,chillies
coconut the nutrient management of coconut.,suggested to apply micronutrient 50g in15l water.,nutrient management,kerala,coconut
others the application of fungicide and pesticide period of gap,suggested to apply 15 days gap between fungicide to fugicide.,plant protection,kerala,others
apple management of damping off in apple,spot drench mancozeb 75 wp @ 1g/l,plant protection,kerala,apple
cucumber sowing time and yield of cucumber,sowing time of cucumber as summer crop is 15th december to march end yeild of cucumber is salad type cucumber 28-32 qnt/acre vegtable type cucumber 60-80 qnt/acre budim dosa 40-50 qnt/acre,cultural practices,telangana,cucumber
"turmeric agriculture research institute, rudur contact information","regional sugarcane and rice research station, rudrur 503 188 dist: nizamabad phone: 08467-284024",soil testing,andhra pradesh,turmeric
"castor (rehri, rendi, arandi) best castor varieties information","best castor varieties ; pagathi , haritha , pch -111, dch-519, gch-8",plant protection,telangana,"castor (rehri, rendi, arandi)"
bhindi(okra/ladysfinger) sucking pest management in bhindi,--recommended to spray imidacloprid 60 ml/acre/200 liters of water,plant protection,telangana,bhindi(okra/ladysfinger)
arecanut management of yellowing and wilting of arecanut plant.,recommended to soil drench with fluopyram 400 sc @ 1.2 ml per 2 litre water.,plant protection,kerala,arecanut
others krishi mela date in gkvk,uas bangalore krishimela 14-17 nov. 2024 · km phamphlet 2024 · km poster 2024,training and exposure visits,karnataka,others
others stables decomposition information ;-,"to prepare a waste decomposer solution, mix 2 kg of jaggery in 200 liters of water in a plastic drum, add a bottle of waste decomposer culture, stir well, cover, and stir daily for 5 days until the solution turns creamy. here's a more detailed breakdown of the process: ingredients: water: 200 liters jaggery: 2 kg waste decomposer culture: 1 bottle (30g) instructions: prepare the jaggery solution: dissolve 2 kg of jaggery in 200 liters of water in a plastic drum. add waste decomposer culture: carefully pour the contents of the waste decomposer bottle into the jaggery solution, ensuring all the culture is added. mix thoroughly: stir the solution well with a wooden stick to ensure the culture is evenly distributed. cover and shade: cover the drum with paper or cardboard and keep it in a shady place. stir daily: stir the solution once or twice a day for the first 5 days to ensure proper mixing and aeration. check for readiness: after 5 days, the solution should turn creamy and have a slightly pungent smell, indicating it's ready for use. use for field application: the solution can be used for field application by diluting it with water (e.g., 1:3 ratio) and applying it as a foliar spray or soil drench. benefits of waste decomposer: bio-fertilizer: it acts as a natural fertilizer, enriching the soil with essential nutrients. bio-pesticide: it can help control pests and diseases in plants. soil health reviver: it improves soil structure and fertility, promoting healthy plant growth. cost-effective and easy to prepare: the process is simple and requires minimal resources. sustainable waste management: it helps in the decomposition of organic waste, reducing landfill waste and promoting sustainable practice",cultural practices,telangana,others
nutmeg micronutrient management in nutmeg and rambutan,apply ayar nutrient mix @ 50g per plant,nutrient management,kerala,nutmeg
coconut organic manure requirement of coconut and nutmeg,suggested that organic manure requirement of coconut is 25 kg and nutmeg is 50 kg per tree,organic farming,kerala,coconut
others high rate of fertilizer,price of fertilizer urea - ₹266.50 (45 kg) dap - ₹1350 mop - ₹1700 npk 12:32:16 - ₹1470,government schemes,bihar,others
"others contact number of agriculture department ,lakshadweep","directorate of agriculture,lakshadweep,kavratti-682555,tel phone: , ,",training and exposure visits,kerala,others
paddy (dhan) paddy knm-118 crop information,paddy knm-118 crop crop information : 120-125 days,varieties,telangana,paddy (dhan)
"others state seed farm, pananchery","state seed farm, pananchery - phone no: +91-",training and exposure visits,kerala,others
chillies plant protection in chilli crop,for sucking pests :- recommended to spray lancer gold (acephate 50% + imidacloprid 1.8% sp) @ 2g per lit of water.,plant protection,karnataka,chillies
paddy (dhan) management of bacterial leaf blight,apply bleaching powder @ 20 bags of 100 gram each for one acre in the irrigation water for checking the spread of the disease. spray antibiotics viz. streptocycline - (15 gram/ 300 litre of water/ha) in severe cases.,plant protection,kerala,paddy (dhan)
mango drying of inflorescence in mango,recommended to spray borax 3 grams /1 litr of water (600 grams /acre/200 liter water ),nutrient management,telangana,mango
cotton (kapas) for flower opening in cotton,no chemical is required for flower opening in cotton,plant protection,telangana,cotton (kapas)
banana banana market information ;-,"chittor-tirupati-banana-small -minimum price;-7500,maximum price;-10000 rs/quintal 23 jul 2025",cultural practices,andhra pradesh,banana
paddy (dhan) difftrent type of rice varieties,"recommended that diffrent types of rice varieties are short duration varieties-rohini,matta triveni,kairali medium duration varieties-sabari,pavizham,uma long duration varieties-mahsuri,jaiva,nila",seeds,kerala,paddy (dhan)
arecanut arecanut nursery contact number,coconut and areca nut nursery (ramegowda nursery):- 074117 43075,seeds and planting material,karnataka,arecanut
pigeon pea (red gram/arhar/tur) white fly management in black gram,recommended to spray dimethoate (rogore) 400 ml/acre 2 ml/1 ltr of water,agriculture mechanization,andhra pradesh,pigeon pea (red gram/arhar/tur)
others application of organic manure and chemical fertilizer together,suggested to apply organic manure and chemical fertilizer in a minimum of one week gap,nutrient management,kerala,others
others method of preparation of jeevamritham,"the ingredients for making liquid jeevamrithum is cow dung- 10 kg, cow urine-10 litre, black jaggery- 2 kg, pulse flour (chick pea/ green gram/ black gram etc) – 2 kg, live soil free from chemicals- 1 kg, water -200 litre. take 200 litres of water in a plastic drum. add 10 kg of cow dung to it and mix well. add powdered jaggery and again mix well. this is followed by adding pulse flour and cow urine. a handful of live soil carrying soil microbes is added at the end.cover the drum with jute bag and let it ferment for a week by mixing at regular intervals. the mixture has to be stirred in every six hours for two days. while stirring, care has to be taken to rotate it in the clock wise direction. the mixture thus prepared has to be used in a week time.",organic farming,kerala,others
banana spraying of hexaconazole with psuedomonas flourescense,suggested not to spray psuedomonas with hexaconazole fungicide,plant protection,kerala,banana
nutmeg management of fruit rot & leaf fall in nutmeg,it is suggested to spray copper oxy chloride 3 gram per one litre of water,plant protection,kerala,nutmeg
others want to register tor pm kisan,"2copies of photo, back passbook, adhaar card, land documents, adhaar registered mobile number.",government schemes,bihar,others
chillies management of chilli leaf curl virus,suggested to spray dimethoate 30 ec (2 ml / litre of water) to control the vector,plant protection,kerala,chillies
paddy (dhan) after ssp application paddy sowing,suggested to sown after 10 days,fertilizer use and availability,telangana,paddy (dhan)
cotton (kapas) seed rate and spacing in cotton,seed rate; 3-5 kgs / acre and spacing is row to row is 75or 60 or 45 cms plant to plant is 15 or 10 cms,cultural practices,telangana,cotton (kapas)
cashew application of organic manure and chemical fertilizers,suggested to give organic manure and chemical fertilizers separately,nutrient management,kerala,cashew
cotton (kapas) cotton hybrid seeds availability,"query: cotton hybrid seeds availability answer: department of cotton phone number:0422-2456297 ; cotton research station, veppanthattai phone number: 04328-264046, 04328- 264866",seeds,andhra pradesh,cotton (kapas)
sorghum (jowar/great millet) market prices for jowar / ???/jowar,aichur 28/02/2025 jowar ( white) 29 3229 4040,market information,karnataka,sorghum (jowar/great millet)
paddy (dhan) irrigation scdule after herbicide application,48 hour's is right you can irrigate the field,water management,telangana,paddy (dhan)
broccoli that broccoli can be grown here,"suggested that broccoli grows well in cold-climate. therefore, it is suggested to keep the plant in a place where it receives up to 50 per cent of sunlight, as opposed to directly under the sun",cultural practices,kerala,broccoli
others method of bioslurry preparation,suggested to mix 1kg of cowdung and 1kg of neem cake in 10l of water and keep it for fermentation. after 10 days dilute it with 10 times water and soil drench once a week,organic farming,kerala,others
cucumber compatibility b/w tebuconazole 50% + trifloxystrobin 25% and tebuconazole 50% + trifloxystrobin 25% ?,there is compatibility b/w tebuconazole 50% + trifloxystrobin 25% and tebuconazole 50% + trifloxystrobin 25%.,nutrient management,telangana,cucumber
others weed managment in sweet potato,there is no weedicide recommendation after 30 days of sowing time,weed management,telangana,others
amaranthus/grain amaranthus planting activities of amaranthus,"prepare the area by ploughing, add lime according to the area taken (1-3kg per cent). after two weeks, add organic manure @ 200 kg/cent. broadcast the seed by mixing with sand @ 1:100 ratio. after one month, spray 19:19:19 @ 5-10g/l water",field preparation,kerala,amaranthus/grain amaranthus
chillies management of yellow mite infestation in chillies,recommended to spray neem garlic emulsion (20 ml neem oil + 20 gram garlic paste + 5 gram bar soap/litre of water).,plant protection,kerala,chillies
green gram (moong bean/ moong) hexaconazole + plethora compatibility ?,recommended to do test and spray ..or separately spray,plant protection,andhra pradesh,green gram (moong bean/ moong)
paddy (dhan) paddy stem borer management ';-,recommended to spray chlorantraniliprole 60 ml /200 litres of water / acre,plant protection,telangana,paddy (dhan)
potato sucking pest in potato management,recommended to spray thiamethoxam 40 gram/200 liter of water/ acre,plant protection,telangana,potato
mango nutrient management in mango over 10 years,"suggested to apply 500g urea, 1 kg rajphos and 750g potash per plant after 3 weeks of fungicide application.",nutrient management,kerala,mango
