question,answer,intent,state,crop
control measure of red spider mite in tea,spray dicofol @  1 lit  in 200 lit of water,unknown,unknown,unknown
the name of the special cell on tea cultivation for small tea growers.,"information given as the name of the cell is small tea grower s advisory programme cell, under assam agril university, jorhat",unknown,unknown,unknown
loans and financial assistance for poultry farming.,contact with the local brunch state bank of india for loans as they are having some schemes for poultry farming.,unknown,unknown,unknown
"details about assam agricultural competiveness project, (aacp )",explained in details about aacp,unknown,unknown,unknown
control measure of downey mildew in bottlegourd,spray carbendazim @ 2.0 g /lit of water at 15 days interval.,unknown,unknown,unknown
the control measures for brinjal shoot borer infestation.,"to spray monocrotophos @2ml/litre of water at an interval of 15 days.also suggested him to remove dead twigs,leaves,fruits and keep the crop field free from weeds.",unknown,unknown,unknown
ask about control measers of undesirabale fishes in carp culture,apply moc @200-250ppm in pond water,unknown,unknown,unknown
anorexia in pig,inject belamyl @ 5ml i/m for 3days alternately and give himalayan batisa 3tsf daily orally.,unknown,unknown,unknown
fertilizer dose of black pepper,"sugested to apply 50 g urea,250 g ssp and 25 g mop along with 10 kg fym/compost.",unknown,unknown,unknown
"the yield of hybrid paddy, variety arize 6444",suggestion: average yield in assam condition is 6.5 tonnes/ha or 20-25 mones/bigha. or 25% more than local varieties,unknown,unknown,unknown
the control measure of bud rot disease of coconut plant.,apply 1%bordeaux mixture to every infected tree along with all the healthy trees covering the entire crown.,unknown,unknown,unknown
the control measure of canker diseases of assam lemon.,"suggested first to cut, burn and dig the affected plant parts and also suggested to apply 1%bordeaux mixture or streptomycin@1mg/litre of water+blitox@3gm/liter of water.",unknown,unknown,unknown
fertilizer requirement for seedbed preparation in sali rice cultivation.,"apply 40 g urea, 80 g ssp and 80 g mop per seed bed",unknown,unknown,unknown
name of variety of rice that can be grown after flood .,"grow late sown variety like monohar sali,prasad bhug that can be grown afte flood.",unknown,unknown,unknown
the stunted growth in paddy seedling.,practice light irrigation and topdressing of urea @ 150 gms/kg seed.,unknown,unknown,unknown
asking for some early varieties of cabbage along with the time of sowing.,"suggested mr.deouri to go for golden acre,pride of india and pusa mukta(sel-8)and to sow from first week of september to last week of november.",unknown,unknown,unknown
the cultivation practice of sandal wood.,described details about cultivation practices.,unknown,unknown,unknown
the remeady from red coloured leaves in paddy after flood.,apply urea 5kg/bigha and mop 5kg/bigha.,unknown,unknown,unknown
the control measure of leaf miner in ridge gourd.,apply celcron @2ml/liter water only before 15 days of harvesting.,unknown,unknown,unknown
the variety of french bean.,collect f 1 hybrid of semsnis or cavery seeds.,unknown,unknown,unknown
"telling that everytime he grows bottle gourd, termites and aphids attack the leaves and stem very severely and the plant dies at an very early stage.asking the remedy for the same.","suggested mr.barua to spray on the leaves and stem,malathion 50ec @ 2ml per litre of water to get control on these pests.",unknown,unknown,unknown
asking for the control measure to control aphids and caterpillars in chilli.,spray malathion 50ec @ 2ml per litre of water to get control on these pests.,unknown,unknown,unknown
the control measure to control trunk borer infestation in assam lemon,"suggested that prophylactic smearing of monocrotophos or quinolphos with lime and water(1:1:25)should be applied up to one meter from the base of the tree which prevents the adult from laying egg,alternatively to kill the insect the hole should be plugged.",unknown,unknown,unknown
the hervesting period of hybrid rice arize-6444,suggested that hervesting period of hybrid rice arize-6444 is 135 days.,unknown,unknown,unknown
asking for the control measure to control late blight in potato.,"apply indofil m-45 @ 2.5 ml per litre of water or ridomil mz-72 @ 2 ml per litre of water at 1st month (early stage), 2nd month(mid stage) and at 3rd month (late stage). also suggested to use sticker triton (0.5ml/ltr) in the spray solution to spray during rainy weather.",unknown,unknown,unknown
the recommended fertilizer dose for hybrid rice arize-6444 after transplanting,"advised that the recommended fertilizer dose for arize-6444 after transplanting is (a)basal application:urea@1.5kg/bigha,dap@12kg/bigha,mop@6.5kg/bigha,znso4@6.5 kg/bigha (b)three weeks after transplanting urea@6kg/bigha(top dressing).(c)six weeks after t",unknown,unknown,unknown
the sowing time of lentil,advised that the sowing time is mid october to mid november,unknown,unknown,unknown
the scientific management of goatery farm.,exlained in details about scientific management of goatery farm.,unknown,unknown,unknown
treatment of diarrhoea of pig.,administer neblon powder @ 10 gram twice daily.,unknown,unknown,unknown
the control measure of trunk borer.,"follow prhylactic smearing of sevin or monocrotophos or quinalphos with lime water (1:1:25) should be applied 1meter from the base of tree during march april. clean the hole and kill the grab with wire and plaster the hole with mud, also suggested to follow proper pruning.",unknown,unknown,unknown
some variety name of pea,"cultivate variety like:t-163,boneville,hup-2,rachna",unknown,unknown,unknown
the control measure to control cut worm infestation in bottle gourd,aplly malathion 50 ec@2ml/liter of water,unknown,unknown,unknown
the control measure to control root rot disease of cauliflower,apply captaf@2gram/liter of water at root portion,unknown,unknown,unknown
telling that the leaves of his orange trees are turning yellow and getting drop. so asking the preventive measure for the same.,"answered mr. konwar that it is due to nitrogen deficiency and sggested to apply 1320 gram of urea, 3000 gram of single super phospate, 668 gram of muriate of potash along with 20 kilogram of farm yard manure in two equal parts. one part to be applied during march - april and the remaining other part in october - november because the plants are in the 4th year stage. however, as a preventive measure, suggested to spray blitox @ 3 gram per litre of water on the leaves right now.",unknown,unknown,unknown
asked about the control measure of fungal wilt of tomato.,apply captaf or bavistin @ 2gm per lit of water in to the root region of the plant.,unknown,unknown,unknown
the dose of dk-4.,apply dk-4 @ 5ml per 20 liter water at 15 days interval.,unknown,unknown,unknown
the source for quality planting material of banana.,"contact assam seed corporation, ulubari guwahati.",unknown,unknown,unknown
the control measure of rat in potato.,apply triphos tablet.,unknown,unknown,unknown
the control measure to control fruit drop problem in coconut,"advised to maintain proper drainage system and to apply recommended fertiliger dose like:urea@1.5kg/plant,ssp@2.5kg/plant,mop@1.75kg/plant,borax@25 gram/plant.the fertilizer should be applied in two equal split doses twice in a year to a trench of 30cm width and 10 cm depth at a radius of 1-1.75m away from the trunk.",unknown,unknown,unknown
treatment of worm infestation of goat.,administer panacur 150mg bolus @1/2bolus.repeat same dose after 1 month.,unknown,unknown,unknown
treatment of worm infestation of pig.,administer panacur 150mg bolus @1/4 part.,unknown,unknown,unknown
suggestion to increase milk of milk.,administer agrimin forte 40gm twice daily.,unknown,unknown,unknown
the method of preparation of aonla juice.,contact horticulture inspector of the concerned district agriculture office for training.,unknown,unknown,unknown
treatment of simple indigestion of cow.,administer rumbion tabs@2tabs daily for 3-4 days.,unknown,unknown,unknown
the control measure to control bitter quality of ridge gourd.,treat the seed with 80 ppm of succcinic acid solution.,unknown,unknown,unknown
the varieties of frenchbean,"cultivate pusa parbati,u-p-f 203 as a variety of frenchbean.",unknown,unknown,unknown
asking  about the training on vermiculture.,contact with district sird(state institute of rural development)growth center or nearest krishi vigyan kendra.,unknown,unknown,unknown
the optimum time for application of chemical fertilizer in coconut,apply fertilizer in recomended dose in ring method during march april and september/ october,unknown,unknown,unknown
asking that from which service providers 1800 180 1551 is accessible.,"answered that at present only from airtel, cell one and from vodafone is accessible. with the rest our organization is cordinating to have this facility  soon.",unknown,unknown,unknown
asked about dosages of lime and fertilizer in 1 bigha area of pond water,to apply lime initially 25kg at the 1st installment and after that 5kg in every month respectively while fertilizer urea and ssp 4 kg and 5kg per bigha per month,unknown,unknown,unknown
some variety name of dinanath grass and proper planting time.,"cultivate variety like-jp-12,pusa-3,pusa-19 and sowing time is-april to june.",unknown,unknown,unknown
asked about the control measure of friut drop of coconut.,"apply the proper dose of fertilizer along with borax, as he has never used fertilizer.",unknown,unknown,unknown
the hybrid variety of rice for sali paddy.,suggested mr barua to cultivate arize-6444 as a variety of hybrid rice and adviced to cultivate under s.r.i method of cultivation.,unknown,unknown,unknown
the earth worm species that are uesd in vercompost.,suggested that eudrilus eugeniae species is generally used in vermicompost.,unknown,unknown,unknown
the fertilizer management of tea for higher production.,suggested mr saura to apply 10 tones of compost at the time of final land prepration and urea-100 kg/hactare in two equal splits at 15 and 30 days after planting.and as a basal dose of dap@120 kg/hactare and mop@100kg/hactare are to be broadcasted before final land preparation.,unknown,unknown,unknown
the control measure to control bacterial wilt in chilli.,apply streptomycin sulphate @ 200 milligram per liter of water at 15 days interval at root portion.,unknown,unknown,unknown
some cultivars  of banana that are produced through tissue culture method.,"given detail regarding the variety like-williams,mahalakshmi,dwarf cavendish",unknown,unknown,unknown
the control measure to control bacterial wilt of chiili.,spray streptocyclin@200milligram/liter of water at 15 days interval.,unknown,unknown,unknown
the control measure to control leaf eating caterpillar infestation in ridge gourd.,spray azadirachtin product like-neemazal@5ml/liter of water.,unknown,unknown,unknown
asking the control measure to control aphids and leaf eating caterpillars in cow pea.,spray malathion 50ec @ 2 milli litre per litre of water for such pests as elaborated by mr. gogoi.,unknown,unknown,unknown
"telling that he has 8 numbers of lemon trees. now, 4 numbers out of those 8 are suffering from canker. so, asking the control measure for the same.",replied that the canker lesions appear as minute water soaked round spots which enlarge slightly and turn brownish which he may have observed and this bacterial disease can be controlled by spraying streptocyclin 100 ppm with blitox @ 3 gram per litre of water during new flushes.,unknown,unknown,unknown
the control measure to control yellow stem borer pest in ahu rice cultivation,use trich0 chard to control the pest.,unknown,unknown,unknown
the controlling measure for controlling fruit borer of assam lemon.,suggested mr dihingia to spray neemgold@ 5ml/litre of water for controlling fruit borer of assam lemon.,unknown,unknown,unknown
the varieties of hybrid rice to cultivate under sri method of rice cultivation.,suggested mr gogoi to take arize-6444 as the variety of hybrid rice to cultivate under sri method of rice cultivation.,unknown,unknown,unknown
the indegenous method of potato preservation.,"suggested mr dutta to treat the potato with boric acid @20gm/litre and dry the potato in shed,than keep the potato in bamboo reck.",unknown,unknown,unknown
treatment of pox of a pig.,to administer bisterpen inj @2ml/50kg body weight for 5 days.,unknown,unknown,unknown
the source for high yielding variety rice seed.,"aproach national seed corporation, sixmile, punjabari road, guwahati, phone number- 0361-2332552",unknown,unknown,unknown
asked about benefits of integrated fish farming,"tell him that it increase food suply,reduces expediture for feed and fertiizers,increased output andeconomic efficiancy etc",unknown,unknown,unknown
asked about dosages of urea and ssp in 1 bigha area of water,to apply urea and ssp @3kg and 3.5kg per bigha area of water.,unknown,unknown,unknown
asked about the fertilizer dose of 2 yr old coconut.,"apply 600gm urea, 1 kg ssp, 700gm mop and 25 gm borax in two splits once  during march april and another during sept oct per plant.",unknown,unknown,unknown
maggoted wound in cow.,spray topicure spray on the maggoted wound area thrice daily.,unknown,unknown,unknown
telling that he is an agricultural development officer by proffession and wants to know from us that did we provide any informations related with the cultivation practices of tea so that he can disseminate the same to the farmers to call kisan call centre.,replied as 'yes' and welcomed any queries related with tea.,unknown,unknown,unknown
some variety for cow pea.,grow variety like-pusa varsati.,unknown,unknown,unknown
asking that what should be done to increase the leaf yield of betelvine at the age of 5th year.,"apply recommended fertilizer dose like-urea@29 kilogram/bigha,ssp@41 kilogram/bigha,mop@33 kilogram/bigha.apply six foliar spray of zinc sulphate(4%)at 60 days interval to increase the leaf yield.the first spray should start in april.",unknown,unknown,unknown
treatment of general weakness.,to administer feroliv@1cup twice daily.along with that administer vimeral@1/2cup twice daily.,unknown,unknown,unknown
the flower dropping problem in ridge gourd,spray tracel @ 5grams per liter water,unknown,unknown,unknown
the training facilities for honey bee cultivation.,suggested mr sarma to contact nearest kvk scientist for the training of honey bee cultivation.,unknown,unknown,unknown
transplanting age of rice seedlings to  the main field.,transplant at the age of 30-35days.,unknown,unknown,unknown
the control measure to control aphid infestation in nursery bed of rice.,apply furadon3g@3gram/squar meter.,unknown,unknown,unknown
fertilizer dose for seedling nursery of sali rice.,"suggested that fertilizer requirement(10meter length x 1.25 meter breadth nuresery bed)is fym@ 20-30 kilogram,urea@80gram,ssp@80gram,mop@40gram.",unknown,unknown,unknown
asked about the fertilizer dose of sali rice.,"apply 12 kg urea, 18 kg ssp and 4 kg mop per bigha.",unknown,unknown,unknown
the training on floriculture,"contact nearest krishi vigyan kendra or deartment of agriculture, govt. of assam",unknown,unknown,unknown
the cultivation practices for arize-6444 hybrid rice.,given in details regarding the cultivation practices.,unknown,unknown,unknown
some variety name of pumpkin,"grow variety like-arka suryamukhi,arka chandan,summer king long etc.",unknown,unknown,unknown
the control measure to control leaf curl problem in chilli.,spray rogor 40ec@2ml/liter of water.,unknown,unknown,unknown
asked about dosages of feed requirement for 2 katha area of water,to apply in the first month @.5kg and for the second @1kg of feed on daily basis,unknown,unknown,unknown
the control measure to control  anthracnose disease of chilli.,apply mancozeb@2.5 gram liter of water at 7 days interval.,unknown,unknown,unknown
the control measure to control red spider mite in tea garden.,spray mastamite@50ml/100 liters of water.,unknown,unknown,unknown
the seed treatment method for paddy.,soak the seed with carbendazim@2.5gram/liter of water/kilogram seed for 24 hours.,unknown,unknown,unknown
the control measure to control thrips infestation in seedling nursery of sali rice.,spray chlorpyriphos 20 ec@2ml/liter of water.,unknown,unknown,unknown
the control measure to control rice gall midge pest in sali rice cultivation.,spray phosphamidon 100ec@2ml/liter of water.,unknown,unknown,unknown
asking for the control measure to control fruit boreres in brinjal.,spray decis 2.4ec @ 1 milli litre p[er litre of water to control such fruit borers.,unknown,unknown,unknown
asking for the names of some good varieties of hybrid rice.,"names suggested are arize-6444, pac - 832 & chayadri.",unknown,unknown,unknown
the control measure to control rice gall midge pest in rice cultivation.,spray quinolphos 25ec@2ml/liter of water.,unknown,unknown,unknown
asking for the subsidy rate of power tiller under chief minister's assam vikash yojana scheme.,replied that the subsidy rate is 50 per cent for power tillers under chief minister's assam vikash yojana scheme.,unknown,unknown,unknown
the control measure to control leaf eating caterpillar  in ash gourd.,spray azdirachtin pesticide like-neem gold/achook@3ml/liter of water.,unknown,unknown,unknown
schedule of postbite vaccination of a dog.,"schedule as follows=o,3,7,14,30,90 days.",unknown,unknown,unknown
the pit size for arecanut.,suggested that pit size is-90 centimeter x 90 centimeter x 90 centimeter.,unknown,unknown,unknown
source of good breed piglet for pig farming.,"contact with base pig breeding farm,khanapara,guwahati-22",unknown,unknown,unknown
some  early variety name of cauliflower.,"grow early variety like-early kuwari,pusa katki,pusa deepali.",unknown,unknown,unknown
some variety of ramie that is suitable to assam.,"suggested regarding the variety like-r1452,r1449,r14411,r-67-34(kanai)",unknown,unknown,unknown
some early cauliflower variety.,"grow early variety like-early kuwari,pusa katki,pusa deepali.",unknown,unknown,unknown
asking for the control measure against army worm of rice.,advised to spray ekalux 25ec @ 3 milli litre per litre of water.,unknown,unknown,unknown
treatment of fasciolosis of a calf.,to administer fantas bolus@5mg per kg body weight.,unknown,unknown,unknown
the proper planting time of arecanut.,suggested that the proper planting time is-april-september.,unknown,unknown,unknown
some variety for black gram,"suggested in details regarding the variety like-t9,t27,pantu-19,t122 etc.",unknown,unknown,unknown
treatment ofwhite diarrhoea of  poultry,suggested her to administer tetrascycline powder @5mg/4ltr of water 2-3times daily for 5 days.,unknown,unknown,unknown
asking for some good early variety names of cabbage suitable for his region.,"golden acre, pride of india and pusa mukta have bben advised.",unknown,unknown,unknown
asking for the fertilizer dose of arecanut in the fourth year stage.,"200,250,235 and 50 grams of urea, ssp, mop and borax respectively has been suggested along with 15 kilo grams of farm yard manure per plant to be applied in two split doses. one during march-april and the other dose during september-october.",unknown,unknown,unknown
season of fertilizer application,twice in a year- september-october and march-april,unknown,unknown,unknown
asking for the fertilizer dose to be applied in terms of per plant for arecanut in the 5th year stage.,"198, 250, 233 grams of urea, single super phosphate and muriate of potash has been suggested respectively along with 15 kilo grams of farm yard manure and 50 grams of borax per plant in the 5th year stage.also advised that these suggested should be applied in two equal split doses. once in march-april and the other half in september-october.",unknown,unknown,unknown
asking that how to avail a kisan credit card loan.,advised mr. gogoi to meet the marketing and recovery officer of agriculture loan section of any nationalised bank of his locality and to get the details.,unknown,unknown,unknown
early cabbage variety name.,"grow early variety like-pride of india,golden acre,pusa mukta",unknown,unknown,unknown
asking for the fertilizer dose of litchi in terms of per plant.,"240, 310, 208 grams of urea, ssp and mop respectively has been advised for per plant of litchi along with 2 kg of oil cake, 2 kg of bone meal and 4 kg of wood ash.",unknown,unknown,unknown
the control measure to control early blight disease in potato.,spray indofil m-45@2.5gram/liter of water alternating with ridomil mz-72@2gram/liter of water at 7-10 days interval.,unknown,unknown,unknown
asking for the control measure against rice bug in paddy.,apply malathion 5% dust powder @ 3 kilo gram for per bigha of land.,unknown,unknown,unknown
the control measure for rice gundhi bug.,suggested mr barma to spray malathion 5%powder@3kg/bigha to control rice gundhi bug.,unknown,unknown,unknown
asked about how to prevent disease outbreak duing winter season,to apply kmno4 @5 ppm in pond water,unknown,unknown,unknown
asking for the fertilizer dose in terms of per tree of coconut to be applied in the 5th year stage.,"1.5, 2.5, 1.75 kilo grams of urea, ssp and mop respectively has been suggested in  terms of per tree along with 25 gram of borax which to be aplied in two equal split doses. once in september- october and the other dose in march - april at a radius of 3 foot away from the trunk and at a depth of 2 foot.",unknown,unknown,unknown
asking how to increase milk of a lactating cow.,to administer ostovet @100ml  daily.alongwith that administer agrimin forte @40gm twice daily.,unknown,unknown,unknown
asked about how to avail loan for constructing a fish farm.,suggested her to contact rural development officer of nearest any branch of gramin bikas bank or state bank of india.,unknown,unknown,unknown
"asking for some good variety names of tomato which will be suitable for his region, if cultivated.","punjab suhara, punjab kesri, pusa early dwarf, pusa ruby, vc-48-1, arha abha, arka alok have been replied as a good suitable variety names to be cultivable in his region.",unknown,unknown,unknown
control measure of damping off disease,spray blitox @ 2gm/liter water.,unknown,unknown,unknown
the scheme to purchase a tractor at subsidy rate.,suggested mr gogoi to approach concerned district agricultural officer for getting a tractor under chief ministers assam vikash yojana scheme.,unknown,unknown,unknown
the fertilizer doses  of arecanut at first year.,"suggested mr kataki tp apply urea-@66gram,super phosphate-@93 gram,potash-@83 gram and compost@5kg/arecanut tree.",unknown,unknown,unknown
some potato variety name.,"grow variety like-kufri jyoti,kufri megha,kufri chandramukhi etc.",unknown,unknown,unknown
asking the process of seed treatment for potato.,dip the cut pieces of potato in indofil m-45 @ 5 gram per litre of water for about 10 minutes and then to spread thinly and  to go for shade dry for 48 hours.,unknown,unknown,unknown
asking for the control measure of anthracnose disease in betel vine.,go for four sprays of bordeaux mixture @ 0.5% at 20 days interval after initiation of the disease.,unknown,unknown,unknown
the  fertilizer doses of cabbage.,"suggested mr saikia to apply urea@25kg,super phosphate@41kg and potash@13kg and compost@2 quintal/bigha as the recomended doses of fertilizer of cabbage.",unknown,unknown,unknown
told that french bean plants died after water stagnation and asked for some measures.,select well drained soil for future cultivation.,unknown,unknown,unknown
treatment of less quantity of milk.,to administer intacal@100ml daily.along with that administer agrimin forte @40gm twice daily.,unknown,unknown,unknown
the fertilizer doses of cauliflower.,"suggested mr gogoi to apply urea@23kg,super phosphate@50kg and potash@11kg and compost@2quintal and borux@25 gram/bigha.",unknown,unknown,unknown
asking for some variety names for late sali rice.,"culture-1, kalinga-3, sonamukhi heera and heera have been replied as variety names for late sali rice.",unknown,unknown,unknown
asking for the control measure against fruit borers.,spray decis 2.4ec @ 1 milli litre per litre opf water.,unknown,unknown,unknown
asking for the control measure against caterpillars in cauliflower cultivation.,malathion 50ec solution @ 2 milli litre in per litre of water has been suggested to spray.,unknown,unknown,unknown
the proper age for castration in case of pig.,the proper age of castration for pig is 2-3 month of age.,unknown,unknown,unknown
asked about some suitable mustard varieties for assam condition.,"try the following varieties, tm 2, tm 4, varuna etc.",unknown,unknown,unknown
the production technology of tomato.,described in details,unknown,unknown,unknown
the fertilizer doses chilli.,"suggested mr barua to apply urea@20kg,super phosphate@33kg,potash@13kg and compost@2quintal/bigha.",unknown,unknown,unknown
the  control measure of anthracnose disease,spray borodeuax mixture @ 0.5% at 20 days interval,unknown,unknown,unknown
the control measure to control cut worm pest attack in root zone of cabbage.,apply furadon 3g@10gram/plant in ring method.,unknown,unknown,unknown
the control measure to control leaf blast diasease in paddy field.,spray edifenphos(hinosan@1mililiter/liter of water and also suggested to increase the dose of potassium over the recommended level.,unknown,unknown,unknown
the variety of hybrid boro rice,grow arize 6444,unknown,unknown,unknown
the controlling measure of leaf spot diseases of turmeric.,suggested mr daimari to spray mancozeb 75wp@2gm/litre of water for controlling leaf spot diseases of turmeric.,unknown,unknown,unknown
production tecnology,explain in details,unknown,unknown,unknown
the control measure of stem bore,spray nuvam @ 1.5ml/liter water,unknown,unknown,unknown
asking for the sowing time of cow pea for cultivation.,replied that the appropriate sowing time is march-april for its cultivation.,unknown,unknown,unknown
"telling that he has cultivated mustard in a land of almost 2 bigha. but now as the crops have started flowering, monkeys come down and has started destroying the crops. asking for control measure against such.","advised to contact the forest deparment officials if posted, within his locality and forest outpost/forest check gate point within his locality.",unknown,unknown,unknown
the control measure of fruit rot of capsicum.,suggested mr dutta to spray dithane z-78@2ml/litre of water for controlling fruit rot of capsicum.,unknown,unknown,unknown
asking for the control measure against leaf eating caterpilar in knol-khol crop cultivation.,spray malathion 50 ec solution @ 1.5 milli litre in 1 litre of water as a control measure for such caterpillars.,unknown,unknown,unknown
some variety name of pumpkin.,"suggested about the variety like-arka suryamukhi,arka chandan,summer king long etc.",unknown,unknown,unknown
asking for the fertilizer dose in terms of per bigha of land to cultivate cow pea.,"4, 29, 3 and 200 kilo garms of urea, ssp, mop and farm yard manure respectively has been suggested.",unknown,unknown,unknown
the control measure to control leaf curl disease in french bean.,spray rogor 35ec@1mililiter/liter of water.,unknown,unknown,unknown
asking that how to collect soil sample for soil testing,given in details about the procedure.,unknown,unknown,unknown
the control measure of leaf spot diseases of betelvine.,suggested miss gogoi to sparay a mixture of bordeaux mixture@5%and streptomycin@.01% to control the leaf spot diseases  betelvine,unknown,unknown,unknown
the control measure control fruit rot in chilli.,spray bavistin@2gram/liter of water.,unknown,unknown,unknown
asking for the control measure against leaf eating caterpillars in cauliflower crop cultivation.,"advised to go for spraying of malathion 50 ec solution @ 1.5 milli litre in 1 litre of water.also advised to go for 2 numbers of srraying at an interval of 7 days, if the problem does not subside.",unknown,unknown,unknown
telling that he wants to cultivate lentil and for that asking its time of sowing under assam condition.,replied that the optimum time of sowing for assam condition is mid october to mid november.,unknown,unknown,unknown
the controlling measure of aphid on potato.,suggested mr sarma to spray malathion 50 ec@2ml/litre of water for controlling aphid on potato.,unknown,unknown,unknown
the control measure to control nosema disease in drones of bees.,administer hydroxy quinoline mixed with sugar@250miligram/4 liter of sugar syrup.,unknown,unknown,unknown
asking for the control measure against fruit rot in bottle gourd crop cultivation.,advised mr. bailung to go for spraying of dithane-z-768 solution @ 2 milli litre in 1 litre of water as a control measure against fruit rot in bottle gourd crop cultivation.,unknown,unknown,unknown
the control measure of fruit borer of bottle gourd.,suggested mr barua to spray malathion 50 ec@2ml/litre of water for controlling fruit borer of bottle gourd.,unknown,unknown,unknown
asked about how to get rid from insect infestation in spawn raising pond.,advised him to apply soap oil emlsion prepared by heating and then spray over the surface of the water.,unknown,unknown,unknown
the control measure to control wet rot in fruits of chilli.,"improve the drainage condition,use drip irrigation to prevent excessive humidity conditions and also to spray with dithane m-45@2gram/liter of water.",unknown,unknown,unknown
asking for the control measure against aphids in cow pea crop cultivation.,profex solution @ 1.5 milli litres in 1 litre of water has been suggested to spray.,unknown,unknown,unknown
asking for the control measuer against mosaic in chilli crop.,rogor 35 ec solution @ 2 milli litre in 1 litre of water has been suggested to spray on the crop.,unknown,unknown,unknown
asking for the control measure against field crickets and cutworm in knol-khol crop cultivation.,apply malathion 5% dust @ 3 kilo grams per bigha of land.,unknown,unknown,unknown
asking abouit treatment of cough in goat.,administer caflon powder @ 25 gm thrice daily along with gur for five days.,unknown,unknown,unknown
asking for the control measure against field crickets and cut worms in cauliflower crop cultivation.,thimet @ 2 kilo grams per bigha of land or malathion 5% dust @ 3 kilo grams per bigh a of land has been suggested to apply as the control measure against field crickets and cut worms in cauliflower crop cultivation.,unknown,unknown,unknown
asking for the control measure to be adopted against pencil tip disease in arecanut trees.,advised to apply adequate manures and fertilizers regularly and to improve cultural practices.,unknown,unknown,unknown
the control measure to control immature flower drop problem in coconut at the age of 6 years.,"apply recommended fertilizer dose is like-urea@1.5 kilogram/plant,ssp@2.5 kilogram/plant,mop@1.75 kilogram/plant,borax@50 gram/plant.fertilizer should be applied in two equal split doses twice in a year in ring mehod.",unknown,unknown,unknown
asking for the planting distance and the for the pit size to plant one year old seedling of coconut.,7.5 metre (from line to line) x 7.5 metre ( from seedling to seedling) as planting distance and 1 metre x 1 metre x 1 metre as pit size has been advised.,unknown,unknown,unknown
the recommended fertilizer dose for bamboo cultivation.,"suggested that the recommended fertilizer dose is like/plant-urea@100 gram,ssp@25 gram,mop@25 gram should be applied in a ring around each plant.",unknown,unknown,unknown
asking for a good source to procure turmeric rhizomes which he wants to cultivate in a bigha of 5 bighas.,advised mr. gogoi to contact the krishi vigyan kendra office of his district. phone number of kvk provided to mr. gogoi is 03772-217545.,unknown,unknown,unknown
"tel;ling that he has a number of 8 lemon trees. but the leaves are of small sized and becomes chlortic crowned and so, asking the remedy for the same.",replied that it has been due to zinc deficiency and it can be controlled by foliar spray of zinc sulphate solution @ 6 gram in 1 litre of water during new flushes.,unknown,unknown,unknown
the method of storage of paddy for next season.,given in details regarding the storage procedure.,unknown,unknown,unknown
the control measure of late blight disease,apply dithane m-45@2.5gram/liter of water alternating with ridomil mz-72@2gram/liter of water at 7-10 days interval,unknown,unknown,unknown
askes remadial for water retention in soil.,advised him to test soil moiture in nearby soil testing labortory.,unknown,unknown,unknown
asked application  of lime and cowdung in pre stocking method in  pond...,to apply 44kg lime [1st ins]and cowdung 430kg[1st ins]at gap of 7days of appling each.,unknown,unknown,unknown
the treatment of milk fever .,contact the nearest vety. surgeon immediately.,unknown,unknown,unknown
treatment of crack in udder of a cow.,apply dermanol cream over the udder surface twice daily.,unknown,unknown,unknown
asking that how to avail a loan to start a project of piggery farm.,contact the br.manager of your nearest nationalised bank.,unknown,unknown,unknown
asked about the control measure of fruit rot of bottle gourd.,spray the crop with dithane z 78 @ 2gm per liter of water.,unknown,unknown,unknown
.asking about the control measure to control immature fruit drop problem in coconut at the age of 5 years,"apply recommended fertilizer like-urea@1.5 kilogram/plant,ssp@2.5 kilogram/plant,mop@1.75 kilogram/plant,borax@50gram/plant.fertilizer should be applied in two equal halves twice in a year to a trench of 10-12 centimeter depth,30 centimeter breadth with a radius of 1-1.75 meter  away from the main trunk.",unknown,unknown,unknown
the control measure of fruit borer of cowpea,suggested mr kowar to spray malathion 50ec@2ml/litre of water for controlling fruit borer of cowpea.,unknown,unknown,unknown
asking for the control measure against leaf curl disease in chilli.,rogor 35 ec solution @ 2 milli litres per litre of water has been suggeted to spray.,unknown,unknown,unknown
treatment of conjunctivits in case of goat.,give ciplox eye drop @ 4 drops in each eye twice daily for five days.,unknown,unknown,unknown
asking for the control measure against fruit borers in cow pea.,'profex' solution @ 1.5 milli litres per litre of water has been suggested to spray as the control measure against fruit borers in cow pea.,unknown,unknown,unknown
control measure of catterpiller,spray malathion 30 ec @ 2ml/liter water,unknown,unknown,unknown
the control measure to control antharcnose disease in chilli.,apply mancozeb @ 2gram / litre of water.,unknown,unknown,unknown
asked about the fertilizer dose of rice (ranjit).,"apply urea,ssp,mop @ 12kg,18 kg, and 4 kg respectively per bigha.",unknown,unknown,unknown
asked where to get magur spwan for raising.,to visit fishery research centre .,unknown,unknown,unknown
asked to know about govt assistance regarding fish culture in assam.,"informed him about aacp,atma,ffda,rkby etc...",unknown,unknown,unknown
the control measure of fruit rot problem in cucumber.,apply bavistin @ 2 gram /litre of water.,unknown,unknown,unknown
asking that how to avail a kisan credit card ?,"approach the nearest public sector bank and to meet the marketing and recovery officer of that particular bank in the loan section divison and to get the details. also replied that eligible farmers will get a kisan credit card and a pass book which will have the name, address, particulars of land holding, borrowing limit,validity period, a paasport size photograph of the holder will will serve as an identity card and will facilitate recording of transactions on an ongoing basis.",unknown,unknown,unknown
